# Item_Value, Item_Weight
77,95
44,70
15,85
67,31
75,100
91,1
2,7
46,53
16,35
68,11
35,64
53,26
84,4
85,34
100,36
43,22
30,27
24,66
17,61
54,40
10,12
4,21
32,72
66,83
49,24
60,84
74,67
57,56
45,37
18,15
62,52
79,74
55,43
11,18
86,71
64,28
78,20
37,99
81,46
22,32
19,54
26,78
38,62
52,76
72,63
20,90
23,17
47,86
59,68
82,82
27,92
28,55
25,38
29,75
96,19
83,14
31,60
13,87
51,94
40,49
58,33
70,29
92,10
88,23
8,73
1,41
71,13
36,44
16,53
85,16
3,56
22,58
84,36
77,33
46,82
60,98
05,58
54,85
67,95
28,9
56,13
67,25
11,64
71,59
91,66
79,53
1,74
76,85
81,55
96,97
61,80
59,22
70,57
05,80
62,73
05,86
33,6
2,28
47,99
98,5
